"Run","Algorithm","value"
80,"lookoutOld",0.0639999999999645
80,"HDoutliers",0.0110000000000241
80,"kdeos",0.194999999999993
80,"rdos",2.24200000000002
81,"stray",0.0250000000000341
81,"lookoutNew",0.0790000000000077
81,"lookoutOld",0.0640000000000214
81,"HDoutliers",0.00999999999999091
81,"kdeos",0.166999999999973
81,"rdos",2.26600000000002
82,"stray",0.0260000000000105
82,"lookoutNew",0.0790000000000077
82,"lookoutOld",0.0629999999999882
82,"HDoutliers",0.00999999999999091
82,"kdeos",0.182000000000016
82,"rdos",2.35700000000003
83,"stray",0.0260000000000105
83,"lookoutNew",0.0790000000000077
83,"lookoutOld",0.063000000000045
83,"HDoutliers",0.00999999999999091
83,"kdeos",0.209000000000003
83,"rdos",2.245
84,"stray",0.0260000000000105
84,"lookoutNew",0.0779999999999745
84,"lookoutOld",0.0649999999999977
84,"HDoutliers",0.0110000000000241
84,"kdeos",0.218999999999994
84,"rdos",2.28899999999999
85,"stray",0.0260000000000105
85,"lookoutNew",0.0790000000000077
85,"lookoutOld",0.0639999999999645
85,"HDoutliers",0.0109999999999673
85,"kdeos",0.168000000000006
85,"rdos",2.387
86,"stray",0.0260000000000105
86,"lookoutNew",0.0780000000000314
86,"lookoutOld",0.0640000000000214
86,"HDoutliers",0.0120000000000005
86,"kdeos",0.197000000000003
86,"rdos",2.27699999999999
87,"stray",0.02800000000002
87,"lookoutNew",0.0769999999999982
87,"lookoutOld",0.0640000000000214
87,"HDoutliers",0.00999999999999091
87,"kdeos",0.180000000000007
87,"rdos",2.41399999999999
88,"stray",0.0249999999999773
88,"lookoutNew",0.0790000000000077
88,"lookoutOld",0.0640000000000214
88,"HDoutliers",0.0110000000000241
88,"kdeos",0.165999999999997
88,"rdos",2.25400000000002
89,"stray",0.0279999999999632
89,"lookoutNew",0.0750000000000455
89,"lookoutOld",0.0649999999999977
89,"HDoutliers",0.0110000000000241
89,"kdeos",0.203999999999951
89,"rdos",2.26499999999999
90,"stray",0.0260000000000105
90,"lookoutNew",0.0819999999999936
90,"lookoutOld",0.0629999999999882
90,"HDoutliers",0.0110000000000241
90,"kdeos",0.173000000000002
90,"rdos",2.29300000000001
91,"stray",0.0260000000000105
91,"lookoutNew",0.0780000000000314
91,"lookoutOld",0.0639999999999645
91,"HDoutliers",0.00999999999999091
91,"kdeos",0.170999999999992
91,"rdos",2.23099999999999
92,"stray",0.0240000000000009
92,"lookoutNew",0.0779999999999745
92,"lookoutOld",0.0670000000000073
92,"HDoutliers",0.0109999999999673
92,"kdeos",0.18300000000005
92,"rdos",2.37799999999999
93,"stray",0.0260000000000105
93,"lookoutNew",0.0780000000000314
93,"lookoutOld",0.0679999999999836
93,"HDoutliers",0.0109999999999673
93,"kdeos",0.221000000000004
93,"rdos",2.27699999999999
94,"stray",0.0250000000000341
94,"lookoutNew",0.0790000000000077
94,"lookoutOld",0.0620000000000118
94,"HDoutliers",0.00999999999999091
94,"kdeos",0.170999999999992
94,"rdos",2.267
95,"stray",0.0249999999999773
95,"lookoutNew",0.0800000000000409
95,"lookoutOld",0.0659999999999741
95,"HDoutliers",0.01400000000001
95,"kdeos",0.213999999999999
95,"rdos",2.24200000000002
96,"stray",0.0249999999999773
96,"lookoutNew",0.0730000000000359
96,"lookoutOld",0.0629999999999882
96,"HDoutliers",0.00999999999999091
96,"kdeos",0.168999999999983
96,"rdos",2.44200000000001
97,"stray",0.0250000000000341
97,"lookoutNew",0.0769999999999982
97,"lookoutOld",0.0620000000000118
97,"HDoutliers",0.0110000000000241
97,"kdeos",0.170000000000016
97,"rdos",2.25799999999998
98,"stray",0.0260000000000105
98,"lookoutNew",0.0780000000000314
98,"lookoutOld",0.0629999999999882
98,"HDoutliers",0.0120000000000005
98,"kdeos",0.197000000000003
98,"rdos",2.24399999999997
99,"stray",0.0250000000000341
99,"lookoutNew",0.0819999999999936
99,"lookoutOld",0.0629999999999882
99,"HDoutliers",0.0110000000000241
99,"kdeos",0.164999999999964
99,"rdos",2.27599999999995
100,"stray",0.0249999999999773
100,"lookoutNew",0.0790000000000077
100,"lookoutOld",0.0640000000000214
100,"HDoutliers",0.0110000000000241
100,"kdeos",0.16799999999995
100,"rdos",2.23999999999995
